ts,username,ok,stage,latency_ms,noop_count,status_count,error
1769292018.574,user515,0,connect,142.103,0,0,socket error: EOF
1769292018.574,user518,0,connect,141.230,0,0,socket error: EOF
1769292018.574,user519,0,connect,140.842,0,0,socket error: EOF
1769292018.574,user526,0,connect,139.139,0,0,socket error: EOF
1769292018.574,user533,0,connect,134.706,0,0,socket error: EOF
1769292018.574,user536,0,connect,133.750,0,0,socket error: EOF
1769292018.574,user538,0,connect,133.573,0,0,socket error: EOF
1769292018.574,user539,0,connect,133.269,0,0,socket error: EOF
1769292018.574,user540,0,connect,133.007,0,0,socket error: EOF
1769292018.574,user542,0,connect,132.427,0,0,socket error: EOF
1769292018.574,user546,0,connect,131.793,0,0,socket error: EOF
1769292018.574,user547,0,connect,131.257,0,0,socket error: EOF
1769292018.574,user552,0,connect,130.720,0,0,socket error: EOF
1769292018.574,user548,0,connect,131.253,0,0,socket error: EOF
1769292018.574,user549,0,connect,130.913,0,0,socket error: EOF
1769292018.574,user556,0,connect,129.033,0,0,socket error: EOF
1769292018.574,user561,0,connect,128.512,0,0,socket error: EOF
1769292018.574,user562,0,connect,127.957,0,0,socket error: EOF
1769292018.574,user560,0,connect,128.531,0,0,socket error: EOF
1769292018.574,user558,0,connect,128.754,0,0,socket error: EOF
1769292018.574,user567,0,connect,126.361,0,0,socket error: EOF
1769292018.574,user570,0,connect,125.701,0,0,socket error: EOF
1769292018.574,user572,0,connect,125.683,0,0,socket error: EOF
1769292018.574,user573,0,connect,125.209,0,0,socket error: EOF
1769292018.574,user575,0,connect,124.438,0,0,socket error: EOF
1769292018.574,user576,0,connect,124.428,0,0,socket error: EOF
1769292018.574,user579,0,connect,123.604,0,0,socket error: EOF
1769292018.574,user585,0,connect,121.165,0,0,socket error: EOF
1769292018.574,user586,0,connect,121.160,0,0,socket error: EOF
1769292018.574,user591,0,connect,118.076,0,0,socket error: EOF
1769292018.574,user592,0,connect,118.071,0,0,socket error: EOF
1769292018.574,user596,0,connect,116.816,0,0,socket error: EOF
1769292018.574,user594,0,connect,117.548,0,0,socket error: EOF
1769292018.574,user601,0,connect,115.845,0,0,socket error: EOF
1769292018.574,user598,0,connect,116.581,0,0,socket error: EOF
1769292018.574,user605,0,connect,114.821,0,0,socket error: EOF
1769292018.574,user602,0,connect,115.290,0,0,socket error: EOF
1769292018.574,user604,0,connect,114.839,0,0,socket error: EOF
1769292018.574,user609,0,connect,114.209,0,0,socket error: EOF
1769292018.574,user610,0,connect,113.596,0,0,socket error: EOF
1769292018.574,user614,0,connect,112.887,0,0,socket error: EOF
1769292018.574,user612,0,connect,113.160,0,0,socket error: EOF
1769292018.574,user613,0,connect,113.152,0,0,socket error: EOF
1769292018.574,user616,0,connect,112.876,0,0,socket error: EOF
1769292018.574,user621,0,connect,111.070,0,0,socket error: EOF
1769292018.574,user624,0,connect,110.535,0,0,socket error: EOF
1769292018.574,user622,0,connect,110.726,0,0,socket error: EOF
1769292018.574,user625,0,connect,110.223,0,0,socket error: EOF
1769292018.574,user628,0,connect,109.103,0,0,socket error: EOF
1769292018.574,user631,0,connect,108.465,0,0,socket error: EOF
1769292018.574,user635,0,connect,107.807,0,0,socket error: EOF
1769292018.574,user642,0,connect,104.045,0,0,socket error: EOF
1769292018.574,user632,0,connect,107.850,0,0,socket error: EOF
1769292018.574,user643,0,connect,103.630,0,0,socket error: EOF
1769292018.574,user646,0,connect,102.653,0,0,socket error: EOF
1769292018.574,user647,0,connect,102.644,0,0,socket error: EOF
1769292018.574,user649,0,connect,102.357,0,0,socket error: EOF
1769292018.574,user651,0,connect,101.769,0,0,socket error: EOF
1769292018.574,user653,0,connect,101.089,0,0,socket error: EOF
1769292018.574,user656,0,connect,100.626,0,0,socket error: EOF
1769292018.574,user660,0,connect,99.490,0,0,socket error: EOF
1769292018.574,user658,0,connect,100.143,0,0,socket error: EOF
1769292018.574,user664,0,connect,98.665,0,0,socket error: EOF
1769292018.574,user665,0,connect,98.249,0,0,socket error: EOF
1769292018.574,user670,0,connect,96.981,0,0,socket error: EOF
1769292018.574,user666,0,connect,98.032,0,0,socket error: EOF
1769292018.574,user669,0,connect,97.557,0,0,socket error: EOF
1769292018.574,user673,0,connect,96.392,0,0,socket error: EOF
1769292018.574,user675,0,connect,95.630,0,0,socket error: EOF
1769292018.574,user678,0,connect,95.153,0,0,socket error: EOF
1769292018.574,user677,0,connect,95.620,0,0,socket error: EOF
1769292018.574,user680,0,connect,94.383,0,0,socket error: EOF
1769292018.574,user687,0,connect,93.109,0,0,socket error: EOF
1769292018.574,user686,0,connect,93.471,0,0,socket error: EOF
1769292018.574,user688,0,connect,93.109,0,0,socket error: EOF
1769292018.574,user690,0,connect,92.605,0,0,socket error: EOF
1769292018.574,user689,0,connect,92.964,0,0,socket error: EOF
1769292018.574,user695,0,connect,90.726,0,0,socket error: EOF
1769292018.574,user696,0,connect,90.721,0,0,socket error: EOF
1769292018.574,user698,0,connect,90.709,0,0,socket error: EOF
1769292018.574,user700,0,connect,88.241,0,0,socket error: EOF
1769292018.574,user704,0,connect,86.949,0,0,socket error: EOF
1769292018.574,user705,0,connect,86.713,0,0,socket error: EOF
1769292018.574,user711,0,connect,85.236,0,0,socket error: EOF
1769292018.574,user712,0,connect,85.223,0,0,socket error: EOF
1769292018.574,user713,0,connect,84.993,0,0,socket error: EOF
1769292018.574,user714,0,connect,84.527,0,0,socket error: EOF
1769292018.574,user708,0,connect,85.593,0,0,socket error: EOF
1769292018.574,user718,0,connect,83.256,0,0,socket error: EOF
1769292018.574,user717,0,connect,83.274,0,0,socket error: EOF
1769292018.574,user720,0,connect,83.242,0,0,socket error: EOF
1769292018.574,user727,0,connect,81.066,0,0,socket error: EOF
1769292018.574,user725,0,connect,82.019,0,0,socket error: EOF
1769292018.574,user726,0,connect,81.088,0,0,socket error: EOF
1769292018.574,user732,0,connect,79.909,0,0,socket error: EOF
1769292018.574,user729,0,connect,80.697,0,0,socket error: EOF
1769292018.574,user735,0,connect,79.250,0,0,socket error: EOF
1769292018.574,user738,0,connect,78.472,0,0,socket error: EOF
1769292018.574,user737,0,connect,78.487,0,0,socket error: EOF
1769292018.574,user736,0,connect,78.831,0,0,socket error: EOF
1769292018.574,user747,0,connect,76.741,0,0,socket error: EOF
1769292018.574,user745,0,connect,76.768,0,0,socket error: EOF
1769292018.574,user743,0,connect,77.637,0,0,socket error: EOF
1769292018.574,user748,0,connect,76.400,0,0,socket error: EOF
1769292018.574,user749,0,connect,76.390,0,0,socket error: EOF
1769292018.574,user757,0,connect,72.382,0,0,socket error: EOF
1769292018.574,user759,0,connect,71.736,0,0,socket error: EOF
1769292018.574,user763,0,connect,69.959,0,0,socket error: EOF
1769292018.574,user764,0,connect,69.946,0,0,socket error: EOF
1769292018.574,user767,0,connect,69.295,0,0,socket error: EOF
1769292018.574,user769,0,connect,68.712,0,0,socket error: EOF
1769292018.574,user771,0,connect,68.170,0,0,socket error: EOF
1769292018.574,user777,0,connect,67.076,0,0,socket error: EOF
1769292018.574,user773,0,connect,67.894,0,0,socket error: EOF
1769292018.574,user776,0,connect,67.093,0,0,socket error: EOF
1769292018.574,user779,0,connect,66.148,0,0,socket error: EOF
1769292018.574,user780,0,connect,66.138,0,0,socket error: EOF
1769292018.574,user782,0,connect,65.873,0,0,socket error: EOF
1769292018.574,user784,0,connect,65.432,0,0,socket error: EOF
1769292018.574,user785,0,connect,64.897,0,0,socket error: EOF
1769292018.574,user787,0,connect,64.880,0,0,socket error: EOF
1769292018.574,user789,0,connect,64.158,0,0,socket error: EOF
1769292018.574,user791,0,connect,63.708,0,0,socket error: EOF
1769292018.574,user796,0,connect,62.168,0,0,socket error: EOF
1769292018.574,user792,0,connect,63.071,0,0,socket error: EOF
1769292018.574,user799,0,connect,61.680,0,0,socket error: EOF
1769292018.574,user798,0,connect,61.692,0,0,socket error: EOF
1769292018.574,user801,0,connect,61.329,0,0,socket error: EOF
1769292018.574,user808,0,connect,58.915,0,0,socket error: EOF
1769292018.574,user812,0,connect,56.641,0,0,socket error: EOF
1769292018.574,user813,0,connect,55.778,0,0,socket error: EOF
1769292018.574,user815,0,connect,55.450,0,0,socket error: EOF
1769292018.574,user819,0,connect,54.543,0,0,socket error: EOF
1769292018.574,user821,0,connect,54.026,0,0,socket error: EOF
1769292018.574,user824,0,connect,53.591,0,0,socket error: EOF
1769292018.574,user823,0,connect,53.857,0,0,socket error: EOF
1769292018.574,user820,0,connect,54.047,0,0,socket error: EOF
1769292018.574,user827,0,connect,52.411,0,0,socket error: EOF
1769292018.574,user829,0,connect,51.967,0,0,socket error: EOF
1769292018.574,user831,0,connect,51.602,0,0,socket error: EOF
1769292018.574,user828,0,connect,51.986,0,0,socket error: EOF
1769292018.574,user837,0,connect,50.265,0,0,socket error: EOF
1769292018.574,user838,0,connect,50.259,0,0,socket error: EOF
1769292018.574,user842,0,connect,49.452,0,0,socket error: EOF
1769292018.574,user839,0,connect,50.010,0,0,socket error: EOF
1769292018.574,user841,0,connect,49.468,0,0,socket error: EOF
1769292018.574,user845,0,connect,48.653,0,0,socket error: EOF
1769292018.574,user848,0,connect,47.303,0,0,socket error: EOF
1769292018.574,user850,0,connect,47.278,0,0,socket error: EOF
1769292018.574,user851,0,connect,47.272,0,0,socket error: EOF
1769292018.574,user855,0,connect,45.931,0,0,socket error: EOF
1769292018.574,user852,0,connect,46.971,0,0,socket error: EOF
1769292018.574,user853,0,connect,46.598,0,0,socket error: EOF
1769292018.574,user856,0,connect,45.669,0,0,socket error: EOF
1769292018.574,user862,0,connect,44.364,0,0,socket error: EOF
1769292018.574,user861,0,connect,44.380,0,0,socket error: EOF
1769292018.574,user871,0,connect,40.507,0,0,socket error: EOF
1769292018.574,user872,0,connect,40.277,0,0,socket error: EOF
1769292018.574,user873,0,connect,39.798,0,0,socket error: EOF
1769292018.575,user876,0,connect,38.811,0,0,socket error: EOF
1769292018.575,user875,0,connect,38.828,0,0,socket error: EOF
1769292018.575,user877,0,connect,38.808,0,0,socket error: EOF
1769292018.575,user878,0,connect,38.465,0,0,socket error: EOF
1769292018.575,user882,0,connect,37.129,0,0,socket error: EOF
1769292018.575,user888,0,connect,36.259,0,0,socket error: EOF
1769292018.575,user887,0,connect,36.630,0,0,socket error: EOF
1769292018.575,user883,0,connect,36.675,0,0,socket error: EOF
1769292018.575,user886,0,connect,36.646,0,0,socket error: EOF
1769292018.575,user892,0,connect,35.067,0,0,socket error: EOF
1769292018.575,user895,0,connect,34.605,0,0,socket error: EOF
1769292018.575,user893,0,connect,34.633,0,0,socket error: EOF
1769292018.575,user899,0,connect,32.958,0,0,socket error: EOF
1769292018.575,user900,0,connect,32.946,0,0,socket error: EOF
1769292018.575,user902,0,connect,32.466,0,0,socket error: EOF
1769292018.575,user905,0,connect,31.283,0,0,socket error: EOF
1769292018.575,user909,0,connect,31.055,0,0,socket error: EOF
1769292018.575,user904,0,connect,31.702,0,0,socket error: EOF
1769292018.575,user911,0,connect,30.361,0,0,socket error: EOF
1769292018.575,user913,0,connect,29.465,0,0,socket error: EOF
1769292018.575,user914,0,connect,29.450,0,0,socket error: EOF
1769292018.575,user921,0,connect,28.020,0,0,socket error: EOF
1769292018.575,user928,0,connect,23.832,0,0,socket error: EOF
1769292018.575,user927,0,connect,23.847,0,0,socket error: EOF
1769292018.575,user931,0,connect,22.671,0,0,socket error: EOF
1769292018.575,user935,0,connect,21.527,0,0,socket error: EOF
1769292018.575,user932,0,connect,22.181,0,0,socket error: EOF
1769292018.575,user936,0,connect,20.955,0,0,socket error: EOF
1769292018.575,user938,0,connect,20.584,0,0,socket error: EOF
1769292018.575,user943,0,connect,19.022,0,0,socket error: EOF
1769292018.575,user945,0,connect,19.003,0,0,socket error: EOF
1769292018.575,user944,0,connect,19.016,0,0,socket error: EOF
1769292018.575,user948,0,connect,18.075,0,0,socket error: EOF
1769292018.575,user949,0,connect,17.536,0,0,socket error: EOF
1769292018.575,user953,0,connect,17.118,0,0,socket error: EOF
1769292018.575,user951,0,connect,17.146,0,0,socket error: EOF
1769292018.575,user955,0,connect,16.440,0,0,socket error: EOF
1769292018.575,user960,0,connect,14.988,0,0,socket error: EOF
1769292018.575,user958,0,connect,15.419,0,0,socket error: EOF
1769292018.575,user962,0,connect,14.976,0,0,socket error: EOF
1769292018.575,user967,0,connect,12.706,0,0,socket error: EOF
1769292018.575,user971,0,connect,12.251,0,0,socket error: EOF
1769292018.575,user978,0,connect,7.923,0,0,socket error: EOF
1769292018.575,user976,0,connect,8.302,0,0,socket error: EOF
1769292018.575,user980,0,connect,7.121,0,0,socket error: EOF
1769292018.575,user983,0,connect,6.524,0,0,socket error: EOF
1769292018.575,user982,0,connect,6.540,0,0,socket error: EOF
1769292018.575,user988,0,connect,4.909,0,0,socket error: EOF
1769292018.575,user989,0,connect,4.897,0,0,socket error: EOF
1769292018.575,user990,0,connect,4.541,0,0,socket error: EOF
1769292018.576,user995,0,connect,4.778,0,0,socket error: EOF
1769292018.576,user996,0,connect,4.770,0,0,socket error: EOF
1769292618.319,user023,1,done,600055.611,19,9,
1769292618.319,user003,1,done,600062.310,19,9,
1769292618.319,user007,1,done,600061.253,19,9,
1769292618.319,user014,1,done,600057.658,19,9,
1769292618.320,user006,1,done,600062.450,19,9,
1769292618.320,user040,1,done,600052.387,19,9,
